time_stamp,humidity,temperature,pm2.5_atm
2025-01-01T00:00:00-08:00,60,50,23.6
2025-01-01T00:30:00-08:00,61,50,49.3
2025-01-01T01:00:00-08:00,61,49,38.7
2025-01-01T01:30:00-08:00,61,48,22.4
2025-01-01T02:00:00-08:00,62,47,17.3
2025-01-01T02:30:00-08:00,63,47,18.5
2025-01-01T03:00:00-08:00,63,47,13
2025-01-01T03:30:00-08:00,63,46,5.2
2025-01-01T04:00:00-08:00,63,46,2.8
2025-01-01T04:30:00-08:00,63,45,3.4
2025-01-01T05:00:00-08:00,63,46,3.4
2025-01-01T05:30:00-08:00,62,46,2.7
2025-01-01T06:00:00-08:00,62,46,4.9
2025-01-01T06:30:00-08:00,62,47,4.2
2025-01-01T07:00:00-08:00,61,48,7.5
2025-01-01T07:30:00-08:00,63,48,14.8
2025-01-01T08:00:00-08:00,64,49,18.1
2025-01-01T08:30:00-08:00,61,52,23.2
2025-01-01T09:00:00-08:00,53,56,17.4
2025-01-01T09:30:00-08:00,47,59,12.2
2025-01-01T10:00:00-08:00,46,60,20.2
2025-01-01T10:30:00-08:00,46,61,21.5
2025-01-01T11:00:00-08:00,43,64,22.2
2025-01-01T11:30:00-08:00,40,66,17.2
2025-01-01T12:00:00-08:00,38,68,18.2
2025-01-01T12:30:00-08:00,36,69,15.8
2025-01-01T13:00:00-08:00,37,69,13
2025-01-01T13:30:00-08:00,40,67,17.4
2025-01-01T14:00:00-08:00,39,66,12.5
2025-01-01T14:30:00-08:00,39,66,11.7
2025-01-01T15:00:00-08:00,39,66,12.2
2025-01-01T15:30:00-08:00,41,65,15.8
2025-01-01T16:00:00-08:00,46,64,14.9
2025-01-01T16:30:00-08:00,49,63,9.8
2025-01-01T17:00:00-08:00,51,62,12.5
2025-01-01T17:30:00-08:00,52,62,13.5
2025-01-01T18:00:00-08:00,53,62,14.1
2025-01-01T18:30:00-08:00,55,61,13.3
2025-01-01T19:00:00-08:00,57,59,16
2025-01-01T19:30:00-08:00,60,58,19.5
2025-01-01T20:00:00-08:00,62,57,39.3
2025-01-01T20:30:00-08:00,63,56,30.6
2025-01-01T21:00:00-08:00,64,57,42.6
2025-01-01T21:30:00-08:00,63,57,39.5
2025-01-01T22:00:00-08:00,64,56,35.8
2025-01-01T22:30:00-08:00,64,55,30.5
2025-01-01T23:00:00-08:00,65,54,28.5
2025-01-01T23:30:00-08:00,66,54,25.5
2025-01-02T00:00:00-08:00,66,53,25.4
2025-01-02T00:30:00-08:00,67,53,21
2025-01-02T01:00:00-08:00,67,53,23.3
2025-01-02T01:30:00-08:00,66,53,22
2025-01-02T02:00:00-08:00,66,53,25.6
2025-01-02T02:30:00-08:00,64,53,23.1
2025-01-02T03:00:00-08:00,61,54,10.1
2025-01-02T03:30:00-08:00,58,55,8.7
2025-01-02T04:00:00-08:00,58,55,9.1
2025-01-02T04:30:00-08:00,59,54,7.8
2025-01-02T05:00:00-08:00,61,53,18.3
2025-01-02T05:30:00-08:00,62,54,20.2
2025-01-02T06:00:00-08:00,58,56,16
2025-01-02T06:30:00-08:00,59,55,14.8
2025-01-02T07:00:00-08:00,61,54,13.7
2025-01-02T07:30:00-08:00,62,53,16.2
2025-01-02T08:00:00-08:00,62,55,18.8
2025-01-02T08:30:00-08:00,58,57,15.7
2025-01-02T09:00:00-08:00,55,59,17.1
2025-01-02T09:30:00-08:00,53,61,17.4
2025-01-02T10:00:00-08:00,51,63,15.4
2025-01-02T10:30:00-08:00,48,64,15.3
2025-01-02T11:00:00-08:00,46,66,14.9
2025-01-02T11:30:00-08:00,45,68,14.8
2025-01-02T12:00:00-08:00,43,69,15.6
2025-01-02T12:30:00-08:00,44,69,22.1
2025-01-02T13:00:00-08:00,43,70,20.2
2025-01-02T13:30:00-08:00,41,72,19.2
2025-01-02T14:00:00-08:00,39,74,15.4
2025-01-02T14:30:00-08:00,39,73,13.5
2025-01-02T15:00:00-08:00,40,72,11.8
2025-01-02T15:30:00-08:00,40,71,10.1
2025-01-02T16:00:00-08:00,42,70,11.4
2025-01-02T16:30:00-08:00,44,68,14
2025-01-02T17:00:00-08:00,47,66,14.6
2025-01-02T17:30:00-08:00,50,64,13.3
2025-01-02T18:00:00-08:00,54,62,14.1
2025-01-02T18:30:00-08:00,56,61,18.2
2025-01-02T19:00:00-08:00,58,60,20.1
2025-01-02T19:30:00-08:00,60,59,19
2025-01-02T20:00:00-08:00,61,60,25.4
2025-01-02T20:30:00-08:00,59,60,30.2
2025-01-02T21:00:00-08:00,59,60,30.3
2025-01-02T21:30:00-08:00,61,59,27
2025-01-02T22:00:00-08:00,63,58,22.8
2025-01-02T22:30:00-08:00,63,58,22.2
2025-01-02T23:00:00-08:00,63,57,27.8
2025-01-02T23:30:00-08:00,64,58,28.1
2025-01-03T00:00:00-08:00,64,57,30.2
2025-01-03T00:30:00-08:00,64,57,30.8
2025-01-03T01:00:00-08:00,65,57,30.6
2025-01-03T01:30:00-08:00,65,57,28.3
2025-01-03T02:00:00-08:00,65,56,24.5
2025-01-03T02:30:00-08:00,67,56,23.2
2025-01-03T03:00:00-08:00,68,56,24.3
2025-01-03T03:30:00-08:00,67,57,25.5
2025-01-03T04:00:00-08:00,66,57,26
2025-01-03T04:30:00-08:00,66,57,25.9
2025-01-03T05:00:00-08:00,66,58,24.5
2025-01-03T05:30:00-08:00,65,59,23.7
2025-01-03T06:00:00-08:00,64,60,24.6
2025-01-03T06:30:00-08:00,67,60,29.1
2025-01-03T07:00:00-08:00,69,60,30.2
2025-01-03T07:30:00-08:00,69,61,28.5
2025-01-03T08:00:00-08:00,67,61,25.7
2025-01-03T08:30:00-08:00,64,61,21.3
2025-01-03T09:00:00-08:00,66,62,23.4
2025-01-03T09:30:00-08:00,68,61,24.2
2025-01-03T10:00:00-08:00,70,61,25.3
2025-01-03T10:30:00-08:00,70,62,23.8
2025-01-03T11:00:00-08:00,70,63,16.6
2025-01-03T11:30:00-08:00,70,64,9.1
2025-01-03T12:00:00-08:00,69,65,7.2
2025-01-03T12:30:00-08:00,67,67,6.4
2025-01-03T13:00:00-08:00,65,68,11.3
2025-01-03T13:30:00-08:00,61,68,4.1
2025-01-03T14:00:00-08:00,60,67,8.1
2025-01-03T14:30:00-08:00,61,66,0.3
2025-01-03T15:00:00-08:00,60,66,0.7
2025-01-03T15:30:00-08:00,62,65,1.4
2025-01-03T16:00:00-08:00,61,64,1.9
2025-01-03T16:30:00-08:00,63,63,1.9
2025-01-03T17:00:00-08:00,65,62,2.8
2025-01-03T17:30:00-08:00,66,61,4
2025-01-03T18:00:00-08:00,67,60,4.9
2025-01-03T18:30:00-08:00,68,59,5.6
2025-01-03T19:00:00-08:00,69,58,10.5
2025-01-03T19:30:00-08:00,68,56,20.1
2025-01-03T20:00:00-08:00,70,56,20.7
2025-01-03T20:30:00-08:00,69,55,30.9
2025-01-03T21:00:00-08:00,69,54,39.1
2025-01-03T21:30:00-08:00,68,54,23.4
2025-01-03T22:00:00-08:00,70,53,16.5
2025-01-03T22:30:00-08:00,70,55,29.6
2025-01-03T23:00:00-08:00,69,54,21.4
2025-01-03T23:30:00-08:00,69,54,17.8
2025-01-04T00:00:00-08:00,69,53,11.9
2025-01-04T00:30:00-08:00,69,52,9.9
2025-01-04T01:00:00-08:00,69,52,10.1
2025-01-04T01:30:00-08:00,69,52,8.6
2025-01-04T02:00:00-08:00,68,51,7.9
2025-01-04T02:30:00-08:00,70,51,6.2
2025-01-04T03:00:00-08:00,70,51,5.9
2025-01-04T03:30:00-08:00,70,51,5.4
2025-01-04T04:00:00-08:00,69,51,6.3
2025-01-04T04:30:00-08:00,70,50,5.1
2025-01-04T05:00:00-08:00,70,50,4.7
2025-01-04T05:30:00-08:00,70,50,4.3
2025-01-04T06:00:00-08:00,69,50,4.3
2025-01-04T06:30:00-08:00,68,50,8.2
2025-01-04T07:00:00-08:00,69,50,5
2025-01-04T07:30:00-08:00,69,50,4.3
2025-01-04T08:00:00-08:00,70,51,4.9
2025-01-04T08:30:00-08:00,71,54,6.6
2025-01-04T09:00:00-08:00,69,56,11.3
2025-01-04T09:30:00-08:00,66,59,8
2025-01-04T10:00:00-08:00,62,61,5.4
2025-01-04T10:30:00-08:00,59,63,5.4
2025-01-04T11:00:00-08:00,56,64,4.7
2025-01-04T11:30:00-08:00,54,65,4.2
2025-01-04T12:00:00-08:00,53,65,3.4
2025-01-04T12:30:00-08:00,51,66,3.2
2025-01-04T13:00:00-08:00,51,67,2.5
2025-01-04T13:30:00-08:00,52,66,2.3
2025-01-04T14:00:00-08:00,52,65,2.3
2025-01-04T14:30:00-08:00,56,63,3.3
2025-01-04T15:00:00-08:00,57,63,5
2025-01-04T15:30:00-08:00,57,62,4.1
2025-01-04T16:00:00-08:00,57,62,3.9
2025-01-04T16:30:00-08:00,59,61,3.5
2025-01-04T17:00:00-08:00,61,60,3.9
2025-01-04T17:30:00-08:00,63,58,4.1
2025-01-04T18:00:00-08:00,65,57,8.1
2025-01-04T18:30:00-08:00,66,56,30.2
2025-01-04T19:00:00-08:00,66,56,24.7
2025-01-04T19:30:00-08:00,67,56,29.6
2025-01-04T20:00:00-08:00,68,55,27.1
2025-01-04T20:30:00-08:00,67,54,35.2
2025-01-04T21:00:00-08:00,67,54,27
2025-01-04T21:30:00-08:00,68,53,20.4
2025-01-04T22:00:00-08:00,68,53,13.6
2025-01-04T22:30:00-08:00,68,52,15.8
2025-01-04T23:00:00-08:00,69,53,16.1
2025-01-04T23:30:00-08:00,67,54,13.9
2025-01-05T00:00:00-08:00,68,53,16.1
2025-01-05T00:30:00-08:00,68,53,28.6
2025-01-05T01:00:00-08:00,67,52,30.2
2025-01-05T01:30:00-08:00,68,52,16.8
2025-01-05T02:00:00-08:00,67,51,14.8
2025-01-05T02:30:00-08:00,67,51,13.7
2025-01-05T03:00:00-08:00,68,51,13.5
2025-01-05T03:30:00-08:00,68,51,13
2025-01-05T04:00:00-08:00,68,51,9
2025-01-05T04:30:00-08:00,67,52,7.9
2025-01-05T05:00:00-08:00,68,51,7.1
2025-01-05T05:30:00-08:00,67,50,7.4
2025-01-05T06:00:00-08:00,68,50,7.9
2025-01-05T06:30:00-08:00,68,49,11.8
2025-01-05T07:00:00-08:00,68,49,13.3
2025-01-05T07:30:00-08:00,68,49,8.4
2025-01-05T08:00:00-08:00,70,51,7.3
2025-01-05T08:30:00-08:00,70,53,5.1
2025-01-05T09:00:00-08:00,68,56,6.1
2025-01-05T09:30:00-08:00,67,57,13.7
2025-01-05T10:00:00-08:00,65,59,10.6
2025-01-05T10:30:00-08:00,62,61,9.3
2025-01-05T11:00:00-08:00,58,63,7
2025-01-05T11:30:00-08:00,55,65,8.9
2025-01-05T12:00:00-08:00,55,66,10.2
2025-01-05T12:30:00-08:00,53,67,9.9
2025-01-05T13:00:00-08:00,51,68,15.1
2025-01-05T13:30:00-08:00,49,69,9.4
2025-01-05T14:00:00-08:00,48,69,5.6
2025-01-05T14:30:00-08:00,48,69,4.9
2025-01-05T15:00:00-08:00,47,69,6.1
2025-01-05T15:30:00-08:00,48,68,6.2
2025-01-05T16:00:00-08:00,48,67,5.3
2025-01-05T16:30:00-08:00,49,66,3.7
2025-01-05T17:00:00-08:00,52,64,3.6
