sensor_id,name,latitude,longitude,altitude,location_type,model,hardware,date_created
17895,Glenmoor,37.538063,-122.01384,34,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1540336088
18987,Fremont: Cabrillo,37.5625,-122.0281,38,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1542050915
19373,Pixel &amp; Mochi's house,37.47319,-121.91591,77,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1542406976
19683,Glenmoor Gardens,37.542088,-122.00043,44,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1542655033
19983,Home Outside,37.581474,-122.03945,27,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1543286906
20565,topchem,37.536236,-121.9931,44,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1543616761
22471,Zapotec,37.490955,-121.91113,360,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1544761071
52853,Westbourne Park,37.503506,-121.93577,64,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1587161856
62183,Laurel Glen,37.529484,-121.92778,279,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1598242684
65447,PaseoAtDriscoll,37.544,-121.951,65,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1599232448
65547,Dollar,37.53786,-121.940704,141,0,PA-I,2.0+BME280+PMSX003-A,1599234325
66255,Glenmoor-Fremont,37.552814,-121.99762,58,0,PA-I,2.0+BME280+PMSX003-A,1599582122
67805,Noel PL,37.58817,-121.99736,108,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1599768648
68617,Fremont Foothill Area,37.557526,-121.94553,86,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1600115520
71443,MoonRiver,37.561237,-121.99151,60,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1600893726
74215,bike5 inside M13,37.46279,-121.91024,60,1,PA-I,2.0+BME280+PMSX003-A,1601404504
76153,Nichols,37.57944,-121.98261,76,1,PA-I,2.0+BME280+PMSX003-A,1601652286
77725,South Mission,37.49189,-121.91367,312,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1602004641
80679,Camellia Ct,37.511295,-121.936005,60,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1602606808
82765,Shawnee inside,37.47392,-121.913956,95,1,PA-I,2.0+BME280+PMSX003-A,1602878829
84117,Lake Elizabeth,37.54408,-121.96445,65,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1603293139
84847,NX South Office Area,37.557465,-122.0656,14,1,PA-I,2.0+BME280+PMSX003-A,1603402827
89199,Niles Riviera Drive,37.57652,-121.99072,64,1,PA-I,2.0+BME280+PMSX003-A,1604962819
113284,Red Hawk,37.556324,-121.968315,61,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1625783277
114889,Washburn court,37.576824,-121.98787,64,0,PA-II-SD,2.0+OPENLOG+15980 MB+DS3231+BME280+PMSX003-B+PMSX003-A,1626474075
118821,Warmsprings,37.475178,-121.91237,110,1,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1628537568
120207,Ponderosa Heights,37.47369,-121.89319,566,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1628883758
145924,RHiguera,37.49703,-121.90754,328,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,1648514825
148483,Fremont - Civic Center,37.55336,-121.97416,61,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1654606759
165691,Earle Street Garage,37.53654,-122.003174,37,1,PA-I,2.0+BME280+PMSX003-A,1664901302
167095,Bodily Ave,37.575657,-121.98883,64,1,PA-I,2.0+BME280+PMSX003-A,1665771077
192605,Langhorn,37.585217,-122.03437,35,1,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A-R+PMSX003-B,1692220186
193337,Glen Moore-York Dr.,37.533764,-122.0048,35,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,1692912333
200231,UG FRE01 BLS SQA,37.508938,-121.955215,25,1,PA-I-TOUCH,3.0+BME68X+KX122+PMSX003-A,1698091220
204577,Mission Hollow,37.526985,-121.92257,279,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,1701893695
245009,Lake Pillsbury,37.591568,-122.05849,20,0,PA-II-ZEN,3.0+OPENLOG+63281 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,1727288153
267457,Campina,37.544514,-121.92642,317,0,PA-II-FLEX,3.0+OPENLOG+NO-DISK+RV3028+BME68X+PMSX003-A+PMSX003-B,1741018029
286506,405 L Street,37.57263,-121.97636,74,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1751770823
289204,CZT Lunchroom,37.486244,-121.942276,16,1,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1753374869
289206,Chris's office,37.486233,-121.94171,17,1,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1753374871
289208,CZT hallway timeclock area,37.486317,-121.9423,16,1,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1753374873
289878,1005,37.4995,-121.94461,26,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,1753811572
